	course_code	course_title	offering_unit
0	AI 201	Artificial Intelligence	AIP
1	AI 211	Computational Linear Algebra for AI	AIP
2	AI 212	Probability and Statistics for AI	AIP
3	AI 221	Classical Machine Learning	AIP
4	AI 222	Advanced Machine Learning	AIP
5	AI 231	Machine Learning Operations (MLOps)	AIP
6	AI 296	Graduate Seminar	AIP
7	AI 297	Special Topics	AIP
8	AI 299	Capstone Project in AI	AIP
9	AI 301	Computational Learning Theory	AIP
10	AI 321	Machine Learning for Sequential Data	AIP
11	AI 322	Reinforcement Learning	AIP
12	AI 341	Differential Digital Signal Processing	AIP
13	AI 351	Machine Learning in Natural Language Processing	AIP
14	AI 361	Autonomous Robots	AIP
15	AI 362	Artificial Intelligence Accelerator	AIP
16	AI 380	Probabilistic Graphical Models	AIP
17	AI 390	Independent Study	AIP
18	AI 397	Special Topics	AIP
19	AI 399	Quantitative Research Methods in Al	AIP
20	AI 400	PhD Dissertation	AIP
21	ARM 201	Archival Theory and Practice	SLIS
22	ARM 202	Records Management Theories and Standards	SLIS
23	ARM 203	Law and Ethics for Archives and Records Management	SLIS
24	ARM 211	Collection Management of Archives and Records I	SLIS
25	ARM 212	Collection Management of Archives and Records II	SLIS
26	ARM 213	Archival Access and Advocacy: Theories and Practice	SLIS
27	ARM 214	Management of Record Centers and Archival Institutions	SLIS
28	ARM 220	Archives Preservation Management	SLIS
29	ARM 221	Advanced Digital Preservation	SLIS
30	ARM 297	Special Topics in Archives and Records  Management	SLIS
31	ARM 298	Special Project in Archives and Records  Management	SLIS
32	ARTS 1	Critical Perspectives in the Arts	DAS
33	AS 201	Nations and Peoples of Asia	AC-ASP, AC
34	AS 202	Asia in Antiquity	AC-ASP, AC
35	AS 203	Asian Encounters	AC, AC-ASP
36	AS 204	Political Economy of Development in Asia	AC, AC-ASP
37	AS 206	Philosophies and Religions of Asia	AC-ASP, AC
38	AS 207	Arts of Asia	AC, AC-ASP
39	AS 210	Theories and Perspectives on Area Studies	AC, AC-ASP
40	AS 211	Security Issues in the Asia Pacific	AC-ASP, AC
