course_code,course_title,offering_unit,units,timeslot,venue,instructor
AI 201,Artificial Intelligence,AIP,3.0,W 6-9PM,AECH-ERDT Rm,"NAVAL, PROSPERO; GABUD, ROSELYN"
AI 211,Computational Linear Algebra for AI,AIP,3.0,F 6-9PM,AECH-CLR2,"REGONIA, PAUL ROSSENER"
AI 212,Probability and Statistics for AI,AIP,3.0,F 6-9PM,AECH-CLR3,"VALDEZ, ADRIAN ROY; SORIANO, JAYMAR"
AI 221,Classical Machine Learning,AIP,3.0,M 6-9PM,TBA,"DALISAY, JON DEWITT"
AI 222,Advanced Machine Learning,AIP,3.0,S 2-3:30PM,TBA; Th 5-6:30PM lec TBA,"ATIENZA, ROWEL"
AI 231,Machine Learning Operations (MLOps),AIP,3.0,F 6-9PM,TBA,"REMOLONA, MIGUEL FRANCISCO"
AI 296,Graduate Seminar,AIP,1.0,S 9-10AM,TBA,"JALAO, EUGENE REX"
AI 299,Capstone Project in AI,AIP,3.0,T 6-9PM,TBA,"CAJOTE, RHANDLEY"
AI 322,Reinforcement Learning,AIP,3.0,Th 6-9PM,AECH-ERDT Rm,"NAVAL, PROSPERO"
AI 361,Autonomous Robots,AIP,3.0,S 3:30-5PM,TBA; T 5-6:30PM lec TBA,"ATIENZA, ROWEL"
AI 399,Quantitative Research Methods in Al,AIP,1.0,S 10-11AM,TBA,"JALAO, EUGENE REX"
AI 400,PhD Dissertation,AIP,3.0,F 8-11AM,TBA,"ATIENZA, ROWEL; CAJOTE, RHANDLEY; JALAO, EUGENE REX; NAVAL, PROSPERO; RAMOS, MANUEL; VALDEZ, ADRIAN ROY; REGONIA, PAUL ROSSENER; SORIANO, JAYMAR; PILARIO, KARL EZRA; DALISAY, JON DEWITT"
ARM 211,Collection Management of Archives and Records I,SLIS,3.0,T 4-7PM,SOLAIR 6,"ISIP, JONATHAN"
ARM 212,Collection Management of Archives and Records II,SLIS,3.0,Th 4-7PM,SOLAIR 6,"ISIP, JONATHAN"
ARM 213,Archival Access and Advocacy: Theories and Practice,SLIS,3.0,F 4-7PM,SOLAIR 6,"BUENROSTRO-CABBAB, IYRA"
ARM 214,Management of Record Centers and Archival Institutions,SLIS,3.0,W 4-7PM,SOLAIR 6,"OLGADO, BENEDICT"
ARM 298,Special Project in Archives and Records  Management,SLIS,4.0,M 9AM-12PM,TBA,"ISIP, JONATHAN"
ARTS 1,Critical Perspectives in the Arts,DAS,3.0,M 1-4PM,CAL 207,"CORPUS, RINA ANGELA"
AS 201,Nations and Peoples of Asia,"AC-ASP, AC",3.0,M 5-8PM,TBA,"SANTARITA, JOEFE"
AS 202,Asia in Antiquity,"AC-ASP, AC",3.0,Th 5-8PM,TBA,"MEDINA, MARIA CECILIA"
AS 206,Philosophies and Religions of Asia,"AC-ASP, AC",3.0,T 5-8PM,TBA,"MEDINA, MARIA CECILIA"
