location,coordinates,latitude,longitude
UP Alumni Engineers Centennial Hall,"14.648749799013904, 121.0687243875866",14.648749799013904,121.0687243875866
UP SOLAIR,"14.657119684512896, 121.06197613909846",14.657119684512896,121.06197613909846
College of Arts and Letters,"14.652729811934092, 121.06743065731372",14.652729811934092,121.06743065731372
UP School of Archaeology,"14.652979082693507, 121.06375184159675",14.652979082693507,121.06375184159675
GT-Toyota Asian Center,"14.657060074215567, 121.07348128898683",14.657060074215567,121.07348128898683
College of Business Administration,"14.65525998107476, 121.07331900391246",14.65525998107476,121.07331900391246
"University of the Philippines, College of Social Sciences and Philosophy","14.653739201753302, 121.06986833107119",14.653739201753302,121.06986833107119
National Institute of Physics,"14.649369579812653, 121.07296046303372",14.649369579812653,121.07296046303372
University of the Philippines College of Architecture,"14.65161243801994, 121.0650135086523",14.65161243801994,121.0650135086523
University of the Philippines College of Mass Communication,"14.656672337382135, 121.06446151830401",14.656672337382135,121.06446151830401
UP Institute of Biology,"14.650987019264086, 121.07111442722197",14.650987019264086,121.07111442722197
University of the Philippines College of Social Work and Community Development,"14.657527156907967, 121.06387281389401",14.657527156907967,121.06387281389401
UP Diliman Institute of Civil Engineering (UP-ICE),"14.648637029630223, 121.06600799375757",14.648637029630223,121.06600799375757
Pavilion 1 - Palma Hall,"14.652713464771562, 121.06914075564355",14.652713464771562,121.06914075564355
Crafts and Interior Design Laboratory,"14.652309268602004, 121.07187871760378",14.652309268602004,121.07187871760378
UP College of Home Economics Annex Building,"14.651889135261797, 121.07222581620618",14.651889135261797,121.07222581620618
UP Diliman Electrical and Electronics Engineering Institute,"14.649925433601496, 121.06850548878212",14.649925433601496,121.06850548878212
UP National College of Public Administration and Governance,"14.656561760023598, 121.06036792255824",14.656561760023598,121.06036792255824
UP College of Human Kinetics,"14.659256256796205, 121.06294603174241",14.659256256796205,121.06294603174241
University of the Philippines Diliman Institute of Chemistry - Teaching Building,"14.650122796369141, 121.07302664589051",14.650122796369141,121.07302664589051
University of the Philippines College of Engineering,"14.656418307328602, 121.06965381566938",14.656418307328602,121.06965381566938
UP College of Music,"14.657097512001661, 121.06530013026583",14.657097512001661,121.06530013026583
UP School of Economics,"14.656018620090313, 121.07334809080868",14.656018620090313,121.07334809080868
UP College of Fine Arts,"14.652706003166541, 121.06174022625477",14.652706003166541,121.06174022625477
"Department of Chemical Engineering, University of the Philippines Diliman","14.648046634833182, 121.06688582751505",14.648046634833182,121.06688582751505
BGC,,,
Computational Science Research Center,"14.649816647552004, 121.07135871998365",14.649816647552004,121.07135871998365
UP College of Education,"14.653678188322838, 121.07216952864813",14.653678188322838,121.07216952864813
Online,,,
"Department of Mining, Metallurgical and Materials Engineering (UP DMMME)","14.647984495434365, 121.068128746853",14.647984495434365,121.068128746853
Industrial Engineering - Mechanical Engineering Building,"14.657467491009402, 121.071014248404",14.657467491009402,121.071014248404
Institute of Environmental Science and Meteorology,"14.648274902397215, 121.07026432523115",14.648274902397215,121.07026432523115
UP Child Development Center,"14.652375424414114, 121.07372105509025",14.652375424414114,121.07372105509025
Alonso Hall,"14.652368525307464, 121.07311289094558",14.652368525307464,121.07311289094558
UP Department of Geodetics Engineering,"14.65679217255087, 121.07017588835767",14.65679217255087,121.07017588835767
University of the Philippines Center for International Studies,"14.653798743341655, 121.07091039741933",14.653798743341655,121.07091039741933
National Institute of Geological Sciences,"14.648248417748437, 121.06947662283177",14.648248417748437,121.06947662283177
UP College of Home Economics,"14.652264517941703, 121.07351884239692",14.652264517941703,121.07351884239692
UP Institute of Islamic Studies,"14.656823884068135, 121.06191794603082",14.656823884068135,121.06191794603082
UP College of Law,"14.656511833580954, 121.0722555444606",14.656511833580954,121.0722555444606
National Institute of Molecular Biology and Biotechnology,"14.650727694704939, 121.07165186231886",14.650727694704939,121.07165186231886
UP Department of Mechanical Engineering,"14.657434347296403, 121.06889468820063",14.657434347296403,121.06889468820063
UP Marine Science Institute,"14.650850608648229, 121.06892856280265",14.650850608648229,121.06892856280265
Institute of Mathematics,"14.64851724988942, 121.07151391347567",14.64851724988942,121.07151391347567
Alfredo V. Lagmay Hall,"14.65370488300482, 121.07142198392602",14.65370488300482,121.07142198392602
UP School of Urban and Regional Planning,"14.657143860946197, 121.06255223235503",14.657143860946197,121.06255223235503
UP Vanguard Building,"14.658922641143837, 121.06421532440656",14.658922641143837,121.06421532440656
University of the Philippines-Diliman Department of Sociology,"14.653232394135568, 121.07083130680918",14.653232394135568,121.07083130680918
Bulwagang Silangang Palma,"14.6533427721763, 121.07159958770929",14.6533427721763,121.07159958770929
UP School of Statistics New Building,"14.65122267086519, 121.06706589586213",14.65122267086519,121.06706589586213
Technology Management Center - University of the Philippines,"14.647489429372502, 121.07201501460958",14.647489429372502,121.07201501460958
UP Asian Institute Of Tourism,"14.660567545509357, 121.06114276371896",14.660567545509357,121.06114276371896
College of Science Admin Auditorium,"14.650070407135466, 121.07063422802186",14.650070407135466,121.07063422802186
