,0
"('UP Alumni Engineers Centennial Hall', 'UP SOLAIR')",1492.5
"('UP Alumni Engineers Centennial Hall', 'College of Arts and Letters')",623.6
"('UP Alumni Engineers Centennial Hall', 'UP School of Archaeology')",933.9
"('UP Alumni Engineers Centennial Hall', 'GT-Toyota Asian Center')",1524.5
"('UP Alumni Engineers Centennial Hall', 'College of Business Administration')",1087.7
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines, College of Social Sciences and Philosophy')",730.3
"('UP Alumni Engineers Centennial Hall', 'National Institute of Physics')",683.3
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines College of Architecture')",629.6
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines College of Mass Communication')",1317.4
"('UP Alumni Engineers Centennial Hall', 'UP Institute of Biology')",517.1
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines College of Social Work and Community Development')",1564.6
"('UP Alumni Engineers Centennial Hall', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",371.9
"('UP Alumni Engineers Centennial Hall', 'Pavilion 1 - Palma Hall')",655.1
"('UP Alumni Engineers Centennial Hall', 'Crafts and Interior Design Laboratory')",809.8
"('UP Alumni Engineers Centennial Hall', 'UP College of Home Economics Annex Building')",662.1
"('UP Alumni Engineers Centennial Hall', 'UP Diliman Electrical and Electronics Engineering Institute')",165.5
"('UP Alumni Engineers Centennial Hall', 'UP National College of Public Administration and Governance')",1652.1
"('UP Alumni Engineers Centennial Hall', 'UP College of Human Kinetics')",1732.4
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",632.6
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines College of Engineering')",995.7
"('UP Alumni Engineers Centennial Hall', 'UP College of Music')",1334.1
"('UP Alumni Engineers Centennial Hall', 'UP School of Economics')",1227.6
"('UP Alumni Engineers Centennial Hall', 'UP College of Fine Arts')",1174.3
"('UP Alumni Engineers Centennial Hall', 'Department of Chemical Engineering, University of the Philippines Diliman')",390.0
"('UP Alumni Engineers Centennial Hall', 'Computational Science Research Center')",504.8
"('UP Alumni Engineers Centennial Hall', 'UP College of Education')",960.1
"('UP Alumni Engineers Centennial Hall', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",186.1
"('UP Alumni Engineers Centennial Hall', 'Industrial Engineering - Mechanical Engineering Building')",1267.3
"('UP Alumni Engineers Centennial Hall', 'Institute of Environmental Science and Meteorology')",233.8
"('UP Alumni Engineers Centennial Hall', 'UP Child Development Center')",858.7
"('UP Alumni Engineers Centennial Hall', 'Alonso Hall')",787.6
"('UP Alumni Engineers Centennial Hall', 'UP Department of Geodetics Engineering')",1261.3
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines Center for International Studies')",838.6
"('UP Alumni Engineers Centennial Hall', 'National Institute of Geological Sciences')",157.3
"('UP Alumni Engineers Centennial Hall', 'UP College of Home Economics')",841.8
"('UP Alumni Engineers Centennial Hall', 'UP Institute of Islamic Studies')",1482.9
"('UP Alumni Engineers Centennial Hall', 'UP College of Law')",1248.4
"('UP Alumni Engineers Centennial Hall', 'National Institute of Molecular Biology and Biotechnology')",518.2
"('UP Alumni Engineers Centennial Hall', 'UP Department of Mechanical Engineering')",1045.5
"('UP Alumni Engineers Centennial Hall', 'UP Marine Science Institute')",287.3
"('UP Alumni Engineers Centennial Hall', 'Institute of Mathematics')",422.7
"('UP Alumni Engineers Centennial Hall', 'Alfredo V. Lagmay Hall')",907.0
"('UP Alumni Engineers Centennial Hall', 'UP School of Urban and Regional Planning')",1494.2
"('UP Alumni Engineers Centennial Hall', 'UP Vanguard Building')",1633.1
"('UP Alumni Engineers Centennial Hall', 'University of the Philippines-Diliman Department of Sociology')",749.9
"('UP Alumni Engineers Centennial Hall', 'Bulwagang Silangang Palma')",869.2
"('UP Alumni Engineers Centennial Hall', 'UP School of Statistics New Building')",641.1
"('UP Alumni Engineers Centennial Hall', 'Technology Management Center - University of the Philippines')",496.1
"('UP Alumni Engineers Centennial Hall', 'UP Asian Institute Of Tourism')",1993.3
"('UP SOLAIR', 'College of Arts and Letters')",990.8
"('UP SOLAIR', 'UP School of Archaeology')",634.1
"('UP SOLAIR', 'GT-Toyota Asian Center')",1509.3
"('UP SOLAIR', 'College of Business Administration')",1505.2
"('UP SOLAIR', 'University of the Philippines, College of Social Sciences and Philosophy')",1173.4
"('UP SOLAIR', 'National Institute of Physics')",1889.7
"('UP SOLAIR', 'University of the Philippines College of Architecture')",878.3
"('UP SOLAIR', 'University of the Philippines College of Mass Communication')",545.5
"('UP SOLAIR', 'UP Institute of Biology')",1688.6
"('UP SOLAIR', 'University of the Philippines College of Social Work and Community Development')",292.4
"('UP SOLAIR', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1287.0
"('UP SOLAIR', 'Pavilion 1 - Palma Hall')",1221.4
"('UP SOLAIR', 'Crafts and Interior Design Laboratory')",1508.3
"('UP SOLAIR', 'UP College of Home Economics Annex Building')",1755.4
"('UP SOLAIR', 'UP Diliman Electrical and Electronics Engineering Institute')",1327.0
"('UP SOLAIR', 'UP National College of Public Administration and Governance')",160.0
"('UP SOLAIR', 'UP College of Human Kinetics')",319.9
"('UP SOLAIR', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1838.9
"('UP SOLAIR', 'University of the Philippines College of Engineering')",1091.1
"('UP SOLAIR', 'UP College of Music')",562.3
"('UP SOLAIR', 'UP School of Economics')",1463.3
"('UP SOLAIR', 'UP College of Fine Arts')",568.3
"('UP SOLAIR', 'Department of Chemical Engineering, University of the Philippines Diliman')",1435.0
"('UP SOLAIR', 'Computational Science Research Center')",1711.2
"('UP SOLAIR', 'UP College of Education')",1427.5
"('UP SOLAIR', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1536.4
"('UP SOLAIR', 'Industrial Engineering - Mechanical Engineering Building')",1058.7
"('UP SOLAIR', 'Institute of Environmental Science and Meteorology')",1638.6
"('UP SOLAIR', 'UP Child Development Center')",1740.7
"('UP SOLAIR', 'Alonso Hall')",1669.6
"('UP SOLAIR', 'UP Department of Geodetics Engineering')",1052.7
"('UP SOLAIR', 'University of the Philippines Center for International Studies')",1275.6
"('UP SOLAIR', 'National Institute of Geological Sciences')",1562.1
"('UP SOLAIR', 'UP College of Home Economics')",1723.8
"('UP SOLAIR', 'UP Institute of Islamic Studies')",36.0
"('UP SOLAIR', 'UP College of Law')",1344.7
"('UP SOLAIR', 'National Institute of Molecular Biology and Biotechnology')",1689.7
"('UP SOLAIR', 'UP Department of Mechanical Engineering')",826.4
"('UP SOLAIR', 'UP Marine Science Institute')",1367.3
"('UP SOLAIR', 'Institute of Mathematics')",1821.1
"('UP SOLAIR', 'Alfredo V. Lagmay Hall')",1344.0
"('UP SOLAIR', 'UP School of Urban and Regional Planning')",109.8
"('UP SOLAIR', 'UP Vanguard Building')",400.7
"('UP SOLAIR', 'University of the Philippines-Diliman Department of Sociology')",1316.9
"('UP SOLAIR', 'Bulwagang Silangang Palma')",1409.6
"('UP SOLAIR', 'UP School of Statistics New Building')",1027.6
"('UP SOLAIR', 'Technology Management Center - University of the Philippines')",1894.6
"('UP SOLAIR', 'UP Asian Institute Of Tourism')",580.9
"('College of Arts and Letters', 'UP School of Archaeology')",609.5
"('College of Arts and Letters', 'GT-Toyota Asian Center')",1250.1
"('College of Arts and Letters', 'College of Business Administration')",835.3
"('College of Arts and Letters', 'University of the Philippines, College of Social Sciences and Philosophy')",372.4
"('College of Arts and Letters', 'National Institute of Physics')",941.9
"('College of Arts and Letters', 'University of the Philippines College of Architecture')",526.9
"('College of Arts and Letters', 'University of the Philippines College of Mass Communication')",948.7
"('College of Arts and Letters', 'UP Institute of Biology')",725.9
"('College of Arts and Letters', 'University of the Philippines College of Social Work and Community Development')",1188.4
"('College of Arts and Letters', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",609.2
"('College of Arts and Letters', 'Pavilion 1 - Palma Hall')",390.8
"('College of Arts and Letters', 'Crafts and Interior Design Laboratory')",545.6
"('College of Arts and Letters', 'UP College of Home Economics Annex Building')",870.9
"('College of Arts and Letters', 'UP Diliman Electrical and Electronics Engineering Institute')",458.1
"('College of Arts and Letters', 'UP National College of Public Administration and Governance')",1150.4
"('College of Arts and Letters', 'UP College of Human Kinetics')",1230.7
"('College of Arts and Letters', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",891.2
"('College of Arts and Letters', 'University of the Philippines College of Engineering')",627.7
"('College of Arts and Letters', 'UP College of Music')",965.4
"('College of Arts and Letters', 'UP School of Economics')",975.2
"('College of Arts and Letters', 'UP College of Fine Arts')",849.9
"('College of Arts and Letters', 'Department of Chemical Engineering, University of the Philippines Diliman')",757.2
"('College of Arts and Letters', 'Computational Science Research Center')",753.6
"('College of Arts and Letters', 'UP College of Education')",626.5
"('College of Arts and Letters', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",722.1
"('College of Arts and Letters', 'Industrial Engineering - Mechanical Engineering Building')",899.4
"('College of Arts and Letters', 'Institute of Environmental Science and Meteorology')",769.8
"('College of Arts and Letters', 'UP Child Development Center')",945.2
"('College of Arts and Letters', 'Alonso Hall')",874.0
"('College of Arts and Letters', 'UP Department of Geodetics Engineering')",893.4
"('College of Arts and Letters', 'University of the Philippines Center for International Studies')",474.7
"('College of Arts and Letters', 'National Institute of Geological Sciences')",693.3
"('College of Arts and Letters', 'UP College of Home Economics')",928.2
"('College of Arts and Letters', 'UP Institute of Islamic Studies')",981.2
"('College of Arts and Letters', 'UP College of Law')",880.5
"('College of Arts and Letters', 'National Institute of Molecular Biology and Biotechnology')",727.0
"('College of Arts and Letters', 'UP Department of Mechanical Engineering')",676.8
"('College of Arts and Letters', 'UP Marine Science Institute')",404.6
"('College of Arts and Letters', 'Institute of Mathematics')",952.3
"('College of Arts and Letters', 'Alfredo V. Lagmay Hall')",543.1
"('College of Arts and Letters', 'UP School of Urban and Regional Planning')",992.6
"('College of Arts and Letters', 'UP Vanguard Building')",1264.4
"('College of Arts and Letters', 'University of the Philippines-Diliman Department of Sociology')",485.6
"('College of Arts and Letters', 'Bulwagang Silangang Palma')",604.9
"('College of Arts and Letters', 'UP School of Statistics New Building')",290.7
"('College of Arts and Letters', 'Technology Management Center - University of the Philippines')",1025.8
"('College of Arts and Letters', 'UP Asian Institute Of Tourism')",1491.6
"('UP School of Archaeology', 'GT-Toyota Asian Center')",1656.7
"('UP School of Archaeology', 'College of Business Administration')",1245.2
"('UP School of Archaeology', 'University of the Philippines, College of Social Sciences and Philosophy')",796.4
"('UP School of Archaeology', 'National Institute of Physics')",1331.1
"('UP School of Archaeology', 'University of the Philippines College of Architecture')",319.7
"('UP School of Archaeology', 'University of the Philippines College of Mass Communication')",788.4
"('UP School of Archaeology', 'UP Institute of Biology')",1130.0
"('UP School of Archaeology', 'University of the Philippines College of Social Work and Community Development')",831.7
"('UP School of Archaeology', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",728.4
"('UP School of Archaeology', 'Pavilion 1 - Palma Hall')",794.9
"('UP School of Archaeology', 'Crafts and Interior Design Laboratory')",949.7
"('UP School of Archaeology', 'UP College of Home Economics Annex Building')",1275.0
"('UP School of Archaeology', 'UP Diliman Electrical and Electronics Engineering Institute')",768.4
"('UP School of Archaeology', 'UP National College of Public Administration and Governance')",793.7
"('UP School of Archaeology', 'UP College of Human Kinetics')",874.0
"('UP School of Archaeology', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1280.4
"('UP School of Archaeology', 'University of the Philippines College of Engineering')",1033.5
"('UP School of Archaeology', 'UP College of Music')",998.2
"('UP School of Archaeology', 'UP School of Economics')",1385.1
"('UP School of Archaeology', 'UP College of Fine Arts')",240.4
"('UP School of Archaeology', 'Department of Chemical Engineering, University of the Philippines Diliman')",876.4
"('UP School of Archaeology', 'Computational Science Research Center')",1152.6
"('UP School of Archaeology', 'UP College of Education')",1050.6
"('UP School of Archaeology', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",977.8
"('UP School of Archaeology', 'Industrial Engineering - Mechanical Engineering Building')",1305.1
"('UP School of Archaeology', 'Institute of Environmental Science and Meteorology')",1080.0
"('UP School of Archaeology', 'UP Child Development Center')",1363.8
"('UP School of Archaeology', 'Alonso Hall')",1292.7
"('UP School of Archaeology', 'UP Department of Geodetics Engineering')",1299.1
"('UP School of Archaeology', 'University of the Philippines Center for International Studies')",898.7
"('UP School of Archaeology', 'National Institute of Geological Sciences')",1003.5
"('UP School of Archaeology', 'UP College of Home Economics')",1346.9
"('UP School of Archaeology', 'UP Institute of Islamic Studies')",624.5
"('UP School of Archaeology', 'UP College of Law')",1287.1
"('UP School of Archaeology', 'National Institute of Molecular Biology and Biotechnology')",1131.1
"('UP School of Archaeology', 'UP Department of Mechanical Engineering')",1075.8
"('UP School of Archaeology', 'UP Marine Science Institute')",808.7
"('UP School of Archaeology', 'Institute of Mathematics')",1262.5
"('UP School of Archaeology', 'Alfredo V. Lagmay Hall')",967.1
"('UP School of Archaeology', 'UP School of Urban and Regional Planning')",635.9
"('UP School of Archaeology', 'UP Vanguard Building')",954.7
"('UP School of Archaeology', 'University of the Philippines-Diliman Department of Sociology')",889.7
"('UP School of Archaeology', 'Bulwagang Silangang Palma')",1009.0
"('UP School of Archaeology', 'UP School of Statistics New Building')",469.0
"('UP School of Archaeology', 'Technology Management Center - University of the Philippines')",1336.0
"('UP School of Archaeology', 'UP Asian Institute Of Tourism')",1134.9
"('GT-Toyota Asian Center', 'College of Business Administration')",436.9
"('GT-Toyota Asian Center', 'University of the Philippines, College of Social Sciences and Philosophy')",914.1
"('GT-Toyota Asian Center', 'National Institute of Physics')",1182.7
"('GT-Toyota Asian Center', 'University of the Philippines College of Architecture')",1671.1
"('GT-Toyota Asian Center', 'University of the Philippines College of Mass Communication')",1237.2
"('GT-Toyota Asian Center', 'UP Institute of Biology')",1007.4
"('GT-Toyota Asian Center', 'University of the Philippines College of Social Work and Community Development')",1279.3
"('GT-Toyota Asian Center', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1757.7
"('GT-Toyota Asian Center', 'Pavilion 1 - Palma Hall')",1128.6
"('GT-Toyota Asian Center', 'Crafts and Interior Design Laboratory')",892.3
"('GT-Toyota Asian Center', 'UP College of Home Economics Annex Building')",883.7
"('GT-Toyota Asian Center', 'UP Diliman Electrical and Electronics Engineering Institute')",1404.0
"('GT-Toyota Asian Center', 'UP National College of Public Administration and Governance')",1669.3
"('GT-Toyota Asian Center', 'UP College of Human Kinetics')",1509.8
"('GT-Toyota Asian Center', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1154.6
"('GT-Toyota Asian Center', 'University of the Philippines College of Engineering')",672.6
"('GT-Toyota Asian Center', 'UP College of Music')",1090.8
"('GT-Toyota Asian Center', 'UP School of Economics')",395.0
"('GT-Toyota Asian Center', 'UP College of Fine Arts')",1829.7
"('GT-Toyota Asian Center', 'Department of Chemical Engineering, University of the Philippines Diliman')",1826.9
"('GT-Toyota Asian Center', 'Computational Science Research Center')",1129.6
"('GT-Toyota Asian Center', 'UP College of Education')",675.7
