,code,location,notes
0,AECH,UP Alumni Engineers Centennial Hall,
1,AIP,UP Alumni Engineers Centennial Hall,
2,SOLAIR,UP SOLAIR,
3,SLIS,UP SOLAIR,UP School of Library and Information Studies
4,CAL,College of Arts and Letters,
5,"AC-ASP, AC",UP School of Archaeology,
6,"AC, AC-ASP",GT-Toyota Asian Center,
7,"PSP, AC, AC-ASP",GT-Toyota Asian Center,
8,"AC, AC-ASP, PSP",GT-Toyota Asian Center,
9,"AC, PSP, AC-ASP",GT-Toyota Asian Center,
10,BA,College of Business Administration,
11,Anthro Museum,"University of the Philippines, College of Social Sciences and Philosophy",
12,PH,"University of the Philippines, College of Social Sciences and Philosophy",
13,DAnthro,"University of the Philippines, College of Social Sciences and Philosophy",
14,NIP,National Institute of Physics,
15,Arch,University of the Philippines College of Architecture,
16,UPSA,UP School of Archaeology,
17,BSP,University of the Philippines College of Architecture,
18,DAS,"University of the Philippines, College of Social Sciences and Philosophy",
19,B,University of the Philippines College of Mass Communication,
20,CSSP,"University of the Philippines, College of Social Sciences and Philosophy",
21,"DAF, DBA, SE",College of Business Administration,
22,"DBA-BGC, DBA",College of Business Administration,
23,IB,UP Institute of Biology,
24,"IB, IB",UP Institute of Biology,
25,BVR,University of the Philippines College of Mass Communication,
26,CMC,University of the Philippines College of Mass Communication,
27,MCB,University of the Philippines College of Mass Communication,
28,M 107,University of the Philippines College of Mass Communication,
29,DBC,University of the Philippines College of Mass Communication,
30,Philo,"University of the Philippines, College of Social Sciences and Philosophy",
31,DCS,UP Alumni Engineers Centennial Hall,
32,CD,University of the Philippines College of Social Work and Community Development,
33,"CD, CD",University of the Philippines College of Social Work and Community Development,
34,"CD, DAF-BGC, DAF",University of the Philippines College of Social Work and Community Development,
35,ICE,UP Diliman Institute of Civil Engineering (UP-ICE),
36,PAV,Pavilion 1 - Palma Hall,
37,A 201,University of the Philippines College of Mass Communication,
38,A 102,University of the Philippines College of Mass Communication,
39,DCRes,University of the Philippines College of Mass Communication,
40,CIDL,Crafts and Interior Design Laboratory,
41,CTID,Crafts and Interior Design Laboratory,
42,CHE,UP College of Home Economics Annex Building,
