	course_code	units
0	HE 100	3.0
1	HE 101	3.0
2	HE 102	2.0
3	HE 290	1.0
4	HE 390	1.0
5	HEEd 101	3.0
6	HEEd 120	3.0
7	HEEd 122	3.0
8	HEEd 131	3.0
9	HEEd 132	3.0
10	HEEd 133	3.0
11	HEEd 135	3.0
12	HEEd 147	6.0
13	HEEd 199	3.0
14	HEEd 200	3.0
15	HEEd 214	3.0
16	HEEd 220	3.0
17	HEEd 297	3.0
18	HEEd 300	6.0
19	HEEd 337	3.0
20	HMS 201	3.0
21	HMS 206	3.0
22	HMS 214	3.0
23	HMS 215	3.0
24	HMS 216	3.0
25	HMS 217	3.0
26	HMS 231	3.0
27	HMS 235	3.0
28	HMS 241	3.0
29	HMS 242	3.0
30	HMS 243	3.0
31	HMS 298	3.0
32	HMS 299	3.0
33	HMS 300	6.0
34	HRIM 102	3.0
35	HRIM 104	5.0
36	HRIM 105	3.0
37	HRIM 106	3.0
38	HRIM 107	3.0
39	HRIM 109	3.0
40	HRIM 112	3.0
41	HRIM 115	3.0
42	HRIM 116	3.0
43	HRIM 128	4.0
44	HRIM 138	3.0
45	HRIM 144	3.0
46	HRIM 160	3.0
47	HRIM 164	3.0
48	HRIM 165	3.0
49	HRIM 171	3.0
50	HRIM 176	4.0
51	HRIM 177	3.0
52	HRIM 179	3.0
53	HRIM 190	3.0
54	HRIM 199	3.0
55	HRIM 200	3.0
56	HRIM 201	3.0
57	HRIM 227	2.0
58	HRIM 228	3.0
59	HRIM 230	2.0
60	HRIM 300	6.0
61	Hapon 10	3.0
62	Hapon 11	3.0
63	Hapon 12	3.0
64	Hapon 13	3.0
65	Hapon 100	3.0
66	Hapon 101	3.0
67	Hapon 111	3.0
68	Hapon 112	3.0
69	Hapon 123	3.0
70	GE 1	3.0
71	GE 2	1.0
72	GE 10	3.0
73	GE 11	2.0
74	GE 12	4.0
75	GE 15	2.0
76	GE 116	3.0
77	GE 117	3.0
78	GE 122	3.0
79	GE 144	3.0
80	GE 161	3.0
81	GE 162	3.0
82	GE 197	3.0
83	GE 199	3.0
84	GE 200	3.0
85	GE 300	3.0
86	GIM 176	2.0
87	GIM 177	3.0
88	GS 197	3.0
89	Geog 1	3.0
90	Geog 100	3.0
91	Geog 103	3.0
92	Geog 104	3.0
93	Geog 119	3.0
94	Geog 121	4.0
95	Geog 124	3.0
96	Geog 131	3.0
97	Geog 133	3.0
98	Geog 135	3.0
99	Geog 161	3.0
100	Geog 171	3.0
101	Geog 173	3.0
102	Geog 183	3.0
103	Geog 190	3.0
104	Geog 197	5.0
105	Geog 198	3.0
106	Geog 199	3.0
107	Geog 204	3.0
108	Geog 209	3.0
109	Geog 211	3.0
110	Geog 243	3.0
111	Geog 255	3.0
112	Geog 300	6.0
113	Geog 301	3.0
114	Geol 1	3.0
115	Geol 11	3.0
116	Geol 11.1	1.0
117	Geol 41	5.0
118	Geol 110	3.0
119	Geol 112	4.0
120	Geol 117	3.0
121	Geol 120	4.0
122	Geol 132	3.0
123	Geol 175	3.0
124	Geol 177	3.0
125	Geol 193	5.0
126	Geol 195	3.0
127	Geol 197	3.0
128	Geol 199	3.0
129	Geol 215	3.0
130	Geol 253	4.0
131	Geol 254	3.0
132	Geol 270	4.0
133	Geol 274	4.0
134	Geol 290	3.0
135	Geol 296	2.0
136	Geol 300	6.0
137	Geol 399	3.0
138	Geology 297	3.0
139	German 10	3.0
140	German 11	3.0
141	German 14	3.0
142	German 15	3.0
143	German 60	3.0
144	German 70	3.0
145	German 100	3.0
146	German 110	3.0
147	German 111	3.0
148	German 160	3.0
149	GmE 202	3.0
150	GmE 203	3.0
151	GmE 205	3.0
152	GmE 210	3.0
153	GmE 211	3.0
154	GmE 220	3.0
155	GmE 230	3.0
156	GmE 242	3.0
157	GsE 188	4.0
158	GsE 189	4.0
159	KAS 1	3.0
160	Kas 2	3.0
161	Kas 100	3.0
162	Kas 101	3.0
163	Kas 110	3.0
164	Kas 112	3.0
165	Kas 113	3.0
166	Kas 114	3.0
167	Kas 116	3.0
168	Kas 117	3.0
169	Kas 120	3.0
170	Kas 151	3.0
171	Kas 153	3.0
172	Kas 158	3.0
173	Kas 161	3.0
174	Kas 162	3.0
